nombre;año;mes;precio;volumen
Frijol grano seco;2021;09;3.34;91.00
Frijol grano seco;2021;10;3.19;209.00
Frijol grano seco;2021;11;3.16;175.00
Frijol grano seco;2021;12;2.43;252.00
Haba grano seco;2020;01;1.07;1635.00
Haba grano seco;2020;02;1.03;1421.00
Haba grano seco;2020;03;1.15;1928.00
Haba grano seco;2020;04;1.14;1999.00
Haba grano seco;2020;05;1.21;1599.00
Haba grano seco;2020;06;1.65;1423.00
Haba grano seco;2020;07;1.89;1588.00
Haba grano seco;2020;08;1.60;1872.00
Haba grano seco;2020;09;1.61;1488.00
Haba grano seco;2020;10;1.57;1817.00
Haba grano seco;2020;11;0.98;2543.00
Haba grano seco;2020;12;0.93;2583.00
Haba grano seco;2021;01;0.98;1909.00
Haba grano seco;2021;02;1.39;1477.00
Haba grano seco;2021;03;1.49;1549.00
Haba grano seco;2021;04;1.22;2114.00
Haba grano seco;2021;05;1.06;2195.00
Haba grano seco;2021;06;0.87;1966.00
Haba grano seco;2021;07;0.97;1798.00
Haba grano seco;2021;08;0.94;1668.00
Haba grano seco;2021;09;0.93;1796.00
Haba grano seco;2021;10;1.01;2191.00
Haba grano seco;2021;11;0.97;2497.00
Haba grano seco;2021;12;1.82;1576.00
Maiz amarillo duro;2020;01;1.15;488.70
Maiz amarillo duro;2020;02;1.15;495.72
Maiz amarillo duro;2020;03;1.16;101.10
Maiz amarillo duro;2020;04;1.25;366.10
Maiz amarillo duro;2020;05;1.22;171.70
Maiz amarillo duro;2020;06;1.19;214.20
Maiz amarillo duro;2020;07;1.19;502.00
Maiz amarillo duro;2020;08;1.21;421.20
Maiz amarillo duro;2020;09;1.28;587.14
Maiz amarillo duro;2020;10;1.38;368.70
Maiz amarillo duro;2020;11;1.44;304.20
Maiz amarillo duro;2020;12;1.46;516.90
Maiz amarillo duro;2021;01;1.49;735.80
Maiz amarillo duro;2021;02;1.52;492.30
Maiz amarillo duro;2021;03;1.47;426.30
Maiz amarillo duro;2021;04;1.58;517.20
Maiz amarillo duro;2021;05;1.66;770.70
Maiz amarillo duro;2021;06;1.64;673.50
Maiz amarillo duro;2021;07;1.63;1108.26
Maiz amarillo duro;2021;08;1.66;715.50
Maiz amarillo duro;2021;09;1.68;936.30
Maiz amarillo duro;2021;10;1.68;661.80
Maiz amarillo duro;2021;11;1.76;492.00
Maiz amarillo duro;2021;12;1.83;611.70
