eli,Precipitacion,Humedad,'Direccion del Viento','Velocidad del Viento',Temperatura_
21682,0,45,79,52,3.0
26838,0,62,62,9,4.0
14863,0,38,42,10,2.0
22387,0,36,154,31,5.0
9181,0,82,27,17,3.0
2196,0,60,355,6,4.0
9506,0,1,194,6,3.0
12851,0,72,167,33,5.0
13360,9,82,178,7,3.0
13436,0,95,348,13,3.0
31557,0,89,313,8,3.0
8043,0,91,349,9,4.0
30169,0,18,30,25,5.0
20632,0,45,154,30,6.0
18765,0,1,142,5,4.0
17489,0,83,141,29,5.0
961,0,95,73,8,3.0
35334,6,83,20,13,3.0
34692,0,84,90,10,3.0
25121,0,54,145,42,6.0
26239,0,53,18,49,5.0
24331,37,1,329,4,4.0
25008,0,1,358,11,3.0
34918,0,95,140,15,3.0
15359,0,37,170,43,5.0
38259,0,28,34,18,3.0
16070,0,45,317,66,6.0
33549,0,76,126,40,5.0
37574,0,49,43,15,3.0
8513,0,49,181,19,5.0
11004,0,75,332,7,3.0
15423,0,33,42,16,4.0
35229,2,90,131,31,5.0
15824,0,43,29,8,2.0
8667,0,76,260,6,3.0
4291,0,33,126,52,6.0
31469,0,37,332,28,4.0
35643,0,82,356,12,3.0
24401,0,80,128,40,5.0
25508,0,95,142,39,4.0
24136,0,73,178,18,5.0
7524,0,95,155,18,4.0
8663,0,54,158,11,4.0
2447,0,18,333,16,4.0
24880,0,67,130,50,6.0
5135,0,56,20,13,4.0
2317,0,49,11,10,4.0
38422,0,32,136,26,5.0
24452,0,83,103,8,3.0
31349,0,40,101,9,3.0
12843,0,83,17,8,3.0
31257,0,66,78,6,3.0
14760,0,61,360,13,4.0
39327,0,33,336,17,4.0
36481,0,76,290,58,4.0
29783,0,44,8,11,4.0
32864,0,57,148,39,6.0
30370,0,37,334,40,4.0
20856,0,37,22,24,3.0
30868,0,45,30,17,4.0
23930,2,1,201,12,3.0
19903,0,88,344,16,3.0
22202,0,47,23,22,3.0
21183,0,30,172,35,7.0
22828,0,78,360,6,3.0
385,0,61,349,41,5.0
22931,0,1,279,17,2.0
9810,0,23,120,69,5.0
28956,0,32,183,22,6.0
19205,0,67,335,18,5.0
15068,0,33,162,35,5.0
29913,0,21,12,13,3.0
28658,0,66,32,11,3.0
29838,0,33,326,17,4.0
26713,0,77,341,6,4.0
29676,0,24,181,27,5.0
17647,0,67,46,33,4.0
6053,0,45,183,18,5.0
28824,0,47,344,14,4.0
40358,0,35,182,12,6.0
9571,0,36,117,43,6.0
31472,0,39,336,19,4.0
36362,0,1,37,5,4.0
33520,0,67,27,13,4.0
37916,0,43,162,37,6.0
23440,0,30,328,60,8.0
28433,0,37,164,39,6.0
27196,0,84,290,15,3.0
26396,2,94,109,28,3.0
31770,0,71,187,16,4.0
20701,0,30,184,25,8.0
4116,0,42,338,32,3.0
40889,0,79,156,33,5.0
19977,0,46,353,17,3.0
8275,0,31,131,36,5.0
36622,0,61,128,42,5.0
1141,0,43,287,49,7.0
15839,0,54,181,9,3.0
20853,0,36,348,33,3.0
40103,0,42,188,37,5.0
1249,0,83,358,9,4.0
22262,0,42,276,53,6.0
29132,0,51,19,5,4.0
39064,0,28,220,10,5.0
20527,0,49,29,27,4.0
39989,0,89,38,7,3.0
10125,7,1,164,13,3.0
10899,1,92,321,12,4.0
23118,0,50,32,29,4.0
37440,0,73,152,7,4.0
17364,0,83,303,7,3.0
7716,0,1,124,6,4.0
13880,0,62,137,8,4.0
9175,0,87,1,96,3.0
33594,0,83,1,96,5.0
3566,0,54,337,30,3.0
274,0,1,167,16,5.0
39106,0,38,332,29,3.0
7929,0,58,34,14,5.0
16110,0,54,33,15,5.0
35243,0,76,351,18,3.0
9693,0,49,147,26,6.0
35661,0,65,188,14,4.0
30890,0,55,34,9,3.0
33430,0,76,131,38,4.0
32480,0,49,47,15,4.0
27728,0,35,23,24,4.0
10905,0,1,152,6,3.0
3973,0,60,358,12,3.0
3423,0,56,26,25,4.0
27860,0,91,16,13,4.0
231,0,95,311,5,4.0
12895,0,71,33,16,4.0
21181,0,35,113,28,7.0
15053,0,40,11,15,4.0
9511,1,1,177,5,3.0
452,0,81,100,9,5.0
14744,0,56,159,15,4.0
7306,5,1,184,7,2.0
36319,0,64,39,8,4.0
14161,0,43,11,14,4.0
7240,0,73,300,42,4.0
32670,0,47,178,22,5.0
21650,0,44,26,16,3.0
35258,8,1,106,32,3.0
24775,0,83,326,3,3.0
40736,0,82,103,10,3.0
37919,0,54,192,28,5.0
19666,0,60,335,37,4.0
4680,0,50,325,14,5.0
22550,0,46,195,12,5.0
20241,0,64,290,7,3.0
24484,0,61,330,16,2.0
32533,0,21,277,32,8.0
28598,0,21,161,36,6.0
34347,0,1,311,17,3.0
15969,0,21,32,17,3.0
34711,0,69,356,7,4.0
32389,0,8,175,36,6.0
38986,0,45,303,19,3.0
29834,0,43,355,18,4.0
30473,0,27,116,58,5.0
32061,0,90,174,6,3.0
4429,0,47,131,53,6.0
32008,0,54,147,42,6.0
12185,1,1,43,1,3.0
40075,0,44,128,45,5.0
24069,0,34,207,7,4.0
32109,0,59,201,14,4.0
6802,0,95,27,8,3.0
8789,0,61,343,16,4.0
13424,0,50,52,12,3.0
15490,0,51,316,24,4.0
2623,0,25,117,40,5.0
4033,0,34,111,56,5.0
29039,0,49,21,13,4.0
36205,0,84,239,10,3.0
33500,0,75,191,13,5.0
5471,0,33,173,22,6.0
14408,0,38,124,39,5.0
23433,0,55,343,36,4.0
22184,0,61,355,27,3.0
31767,0,35,183,29,7.0
34144,0,94,156,9,3.0
11876,0,1,115,45,4.0
1316,0,68,340,13,5.0
28085,0,64,77,14,4.0
17812,0,1,300,11,3.0
39161,0,19,205,22,7.0
16822,7,94,109,6,3.0
21715,0,29,152,30,5.0
