fecha,precio,volumen
20/12/17,0.97,263
21/12/17,1.02,333
22/12/17,0.98,213
23/12/17,0.98,250
24/12/17,0.99,164
25/12/17,1,...
26/12/17,1.02,177
27/12/17,1.05,331
28/12/17,0.98,415
29/12/17,0.87,299
30/12/17,0.83,374
31/12/17,0.84,201
01/01/18,0.85,...
02/01/18,0.87,43
03/01/18,0.83,219
04/01/18,0.83,287
05/01/18,1,260
06/01/18,1,291
07/01/18,1.01,271
08/01/18,1.02,122
09/01/18,1.05,401
10/01/18,1,350
11/01/18,1,260
12/01/18,1.05,250
13/01/18,1.18,246
14/01/18,1.18,265
15/01/18,1.18,53
16/01/18,1.21,361
17/01/18,1.18,306
18/01/18,1.2,264
19/01/18,1.02,289
20/01/18,1.05,298
21/01/18,1.11,233
22/01/18,1.18,110
23/01/18,1.19,312
24/01/18,1.19,241
25/01/18,1.05,270
26/01/18,1.05,254
27/01/18,1.05,255
28/01/18,1.02,141
29/01/18,1,68
30/01/18,1.05,386
31/01/18,1.18,273
01/02/18,1.18,252
02/02/18,1.2,210
03/02/18,1.19,256
04/02/18,1.19,195
05/02/18,1.19,50
06/02/18,1.2,353
07/02/18,1.2,196
08/02/18,1.19,267
09/02/18,1.19,257
10/02/18,1.21,259
11/02/18,1.22,195
12/02/18,1.23,110
13/02/18,1.35,382
14/02/18,1.19,281
15/02/18,1.23,314
16/02/18,1.19,267
17/02/18,1.2,283
18/02/18,1.22,195
19/02/18,1.23,78
20/02/18,1.25,409
21/02/18,1.19,235
22/02/18,1.23,225
23/02/18,1.25,262
24/02/18,1.25,227
25/02/18,1.6,215
26/02/18,1.94,88
27/02/18,1.99,337
28/02/18,1.93,202
01/03/18,1.79,340
02/03/18,1.6,312
03/03/18,1.56,209
04/03/18,1.74,180
05/03/18,1.93,84
06/03/18,1.94,399
07/03/18,1.76,249
08/03/18,1.79,237
09/03/18,1.76,241
10/03/18,1.79,231
11/03/18,1.86,166
12/03/18,1.93,106
13/03/18,1.97,427
14/03/18,1.93,181
15/03/18,1.94,296
16/03/18,1.94,324
17/03/18,1.93,254
18/03/18,1.94,161
19/03/18,1.94,116
20/03/18,1.93,390
21/03/18,1.92,236
22/03/18,1.74,264
23/03/18,1.92,322
24/03/18,1.92,308
25/03/18,1.84,200
26/03/18,1.76,101
27/03/18,1.79,357
28/03/18,1.74,203
29/03/18,1.76,287
30/03/18,1.72,138
31/03/18,1.79,261
01/04/18,1.79,266
02/04/18,1.79,203
03/04/18,1.74,411
04/04/18,1.71,175
05/04/18,1.79,261
06/04/18,1.79,271
07/04/18,1.74,321
08/04/18,1.76,152
09/04/18,1.79,62
10/04/18,1.76,352
11/04/18,1.79,229
12/04/18,1.81,306
13/04/18,1.92,253
14/04/18,1.92,351
15/04/18,1.93,210
16/04/18,1.94,73
17/04/18,1.79,334
18/04/18,1.76,313
19/04/18,1.79,298
20/04/18,1.76,284
21/04/18,1.74,192
22/04/18,1.94,74
23/04/18,2.13,32
24/04/18,2.29,365
25/04/18,2.27,173
26/04/18,2.11,315
27/04/18,1.99,324
28/04/18,1.99,298
29/04/18,1.88,225
30/04/18,1.76,143
01/05/18,1.79,364
02/05/18,1.74,268
03/05/18,1.74,237
04/05/18,1.76,252
05/05/18,1.6,276
06/05/18,1.69,214
07/05/18,1.79,102
08/05/18,1.74,340
09/05/18,1.71,190
10/05/18,1.92,280
11/05/18,1.92,220
12/05/18,1.79,278
13/05/18,1.88,137
14/05/18,1.97,72
15/05/18,2.09,286
16/05/18,1.99,244
17/05/18,1.93,282
18/05/18,1.9,300
19/05/18,1.93,267
20/05/18,1.94,220
21/05/18,1.94,59
22/05/18,1.97,306
23/05/18,2.13,191
24/05/18,2.16,224
25/05/18,2.16,260
26/05/18,2.16,271
27/05/18,2.17,103
28/05/18,2.18,79
29/05/18,1.94,377
30/05/18,1.76,235
31/05/18,1.79,323
01/06/18,1.74,219
02/06/18,1.71,220
03/06/18,1.71,174
04/06/18,1.71,105
05/06/18,1.9,301
06/06/18,1.9,201
07/06/18,1.79,356
08/06/18,1.74,373
09/06/18,1.74,201
10/06/18,1.66,127
11/06/18,1.57,95
12/06/18,1.55,278
13/06/18,1.55,199
14/06/18,1.6,273
15/06/18,1.62,281
16/06/18,1.57,244
17/06/18,1.57,118
18/06/18,1.57,95
19/06/18,1.53,285
20/06/18,1.53,148
21/06/18,1.57,358
22/06/18,1.44,232
23/06/18,1.44,219
24/06/18,1.6,129
25/06/18,1.76,103
26/06/18,1.74,279
27/06/18,1.74,97
28/06/18,1.93,310
29/06/18,1.94,259
30/06/18,1.93,225
01/07/18,2.11,108
02/07/18,2.3,85
03/07/18,2.34,304
04/07/18,2.36,183
05/07/18,2.3,345
06/07/18,2.3,264
07/07/18,2.27,153
08/07/18,2.22,106
09/07/18,2.18,52
10/07/18,2.3,310
11/07/18,2.34,120
12/07/18,2.3,248
13/07/18,2.3,229
14/07/18,2.31,177
15/07/18,2.4,132
16/07/18,2.48,85
17/07/18,2.53,302
18/07/18,2.5,205
19/07/18,2.48,254
20/07/18,2.34,313
21/07/18,2.31,147
22/07/18,2.4,120
23/07/18,2.48,54
24/07/18,2.53,271
25/07/18,2.48,198
26/07/18,2.48,230
27/07/18,2.36,308
28/07/18,2.3,177
29/07/18,2.4,65
30/07/18,2.5,69
31/07/18,2.31,263
01/08/18,2.3,177
02/08/18,2.34,247
03/08/18,2.48,252
04/08/18,2.48,222
05/08/18,2.49,154
06/08/18,2.5,53
07/08/18,2.66,262
08/08/18,2.69,143
09/08/18,2.82,248
10/08/18,2.69,303
11/08/18,2.67,246
12/08/18,2.69,157
13/08/18,2.71,125
14/08/18,2.53,284
15/08/18,2.48,188
16/08/18,2.5,193
17/08/18,2.31,237
18/08/18,2.29,292
19/08/18,2.28,204
20/08/18,2.27,104
21/08/18,2.3,232
22/08/18,2.31,128
23/08/18,2.34,343
24/08/18,2.3,313
