eli,DISTRITO,CULTIVO
165,APURIMAC-GRAU-GAMARRA,Papa color
166,APURIMAC-GRAU-GAMARRA,Quinua
167,APURIMAC-GRAU-PATAYPAMPA,Arveja grano seco
168,APURIMAC-GRAU-PATAYPAMPA,Haba grano seco
169,APURIMAC-GRAU-PATAYPAMPA,Olluco
170,APURIMAC-GRAU-PATAYPAMPA,Papa blanca
171,APURIMAC-GRAU-PATAYPAMPA,Papa color
172,APURIMAC-GRAU-PATAYPAMPA,Quinua
173,APURIMAC-GRAU-SANTA ROSA,Haba grano seco
174,APURIMAC-GRAU-SANTA ROSA,Olluco
175,APURIMAC-GRAU-SANTA ROSA,Papa blanca
176,APURIMAC-GRAU-SANTA ROSA,Papa color
177,APURIMAC-GRAU-SANTA ROSA,Quinua
178,APURIMAC-GRAU-TURPAY,Haba grano seco
179,APURIMAC-GRAU-TURPAY,Olluco
180,APURIMAC-GRAU-TURPAY,Papa blanca
181,APURIMAC-GRAU-TURPAY,Papa color
182,APURIMAC-GRAU-TURPAY,Quinua
183,APURIMAC-GRAU-VIRUNDO,Olluco
184,APURIMAC-GRAU-VIRUNDO,Papa blanca
185,APURIMAC-GRAU-VIRUNDO,Papa color
186,APURIMAC-GRAU-VIRUNDO,Quinua
187,AREQUIPA-CASTILLA-CHOCO,Quinua
188,AREQUIPA-CASTILLA-PAMPACOLCA,Maiz amilaceo
189,AREQUIPA-CAYLLOMA-COPORAQUE,Trigo
190,AREQUIPA-CAYLLOMA-YANQUE,Trigo
191,AREQUIPA-CONDESUYOS-CHICHAS,Olluco
192,AREQUIPA-CONDESUYOS-YANAQUIHUA,Olluco
193,CAJAMARCA-CAJAMARCA-CHETILLA,Maiz choclo
194,CAJAMARCA-CAJAMARCA-MAGDALENA,Olluco
195,CAJAMARCA-SAN MARCOS-CHANCAY,Arveja grano verde
196,CAJAMARCA-SAN MARCOS-GREGORIO PITA,Maiz choclo
197,CAJAMARCA-SAN MARCOS-ICHOCAN,Arveja grano verde
198,CAJAMARCA-SAN MARCOS-JOSE MANUEL QUIROZ,Haba grano seco
199,CAJAMARCA-SAN MARCOS-JOSE MANUEL QUIROZ,Maiz choclo
200,CAJAMARCA-SAN MIGUEL-EL PRADO,Haba grano seco
201,CUSCO-ANTA-HUAROCONDO,Papa blanca
202,CUSCO-ANTA-ZURITE,Papa blanca
203,CUSCO-CANAS-YANAOCA,Olluco
204,CUSCO-CANAS-PAMPAMARCA,Olluco
205,CUSCO-CANAS-QUEHUE,Olluco
206,CUSCO-CANAS-TUPAC AMARU,Quinua
207,CUSCO-CANCHIS-CHECACUPE,Arveja grano seco
208,CUSCO-CANCHIS-COMBAPATA,Arveja grano seco
209,CUSCO-CANCHIS-COMBAPATA,Olluco
210,CUSCO-CANCHIS-MARANGANI,Arveja grano seco
211,CUSCO-CANCHIS-TINTA,Olluco
212,HUANCAVELICA-HUANCAVELICA-ACOBAMBILLA,Arveja grano verde
213,HUANCAVELICA-HUANCAVELICA-ACOBAMBILLA,Olluco
214,HUANCAVELICA-HUANCAVELICA-ACOBAMBILLA,Quinua
215,HUANCAVELICA-HUANCAVELICA-ACORIA,Ajo
216,HUANCAVELICA-HUANCAVELICA-ACORIA,Arveja grano verde
217,HUANCAVELICA-HUANCAVELICA-ACORIA,Frijol grano seco
218,HUANCAVELICA-HUANCAVELICA-ACORIA,Olluco
219,HUANCAVELICA-HUANCAVELICA-ACORIA,Quinua
220,HUANCAVELICA-HUANCAVELICA-HUAYLLAHUARA,Maiz amilaceo
221,HUANCAVELICA-HUANCAVELICA-MANTA,Arveja grano seco
222,HUANCAVELICA-HUANCAVELICA-MANTA,Olluco
223,HUANCAVELICA-HUANCAVELICA-MANTA,Quinua
224,HUANCAVELICA-HUANCAVELICA-MARISCAL CACERES,Maiz amilaceo
225,HUANCAVELICA-HUANCAVELICA-MOYA,Maiz amilaceo
226,HUANCAVELICA-HUANCAVELICA-PILCHACA,Maiz amilaceo
227,HUANCAVELICA-HUANCAVELICA-VILCA,Olluco
228,HUANCAVELICA-HUANCAVELICA-VILCA,Papa color
229,HUANCAVELICA-HUANCAVELICA-VILCA,Quinua
230,HUANCAVELICA-HUANCAVELICA-YAULI,Ajo
231,HUANCAVELICA-HUANCAVELICA-YAULI,Cebolla cabeza roja
232,HUANCAVELICA-ACOBAMBA-ANDABAMBA,Frijol grano seco
233,HUANCAVELICA-ACOBAMBA-ROSARIO,Frijol grano seco
234,HUANCAVELICA-ANGARAES-SANTO TOMAS DE PATA,Frijol grano seco
235,HUANUCO-DOS DE MAYO-SHUNQUI,Quinua
236,HUANUCO-DOS DE MAYO-SILLAPATA,Quinua
237,HUANUCO-DOS DE MAYO-YANAS,Quinua
238,HUANUCO-LAURICOCHA-RONDOS,Quinua
239,HUANUCO-YAROWILCA-JACAS CHICO,Quinua
240,JUNIN-HUANCAYO-HUASICANCHA,Olluco
241,JUNIN-CONCEPCION-MANZANARES,Ajo
242,JUNIN-CONCEPCION-MANZANARES,Cebolla cabeza roja
243,JUNIN-TARMA-HUARICOLCA,Quinua
244,JUNIN-TARMA-HUARICOLCA,Trigo
245,JUNIN-TARMA-TAPO,Quinua
246,JUNIN-CHUPACA-SAN JUAN DE ISCOS,Trigo
247,JUNIN-CHUPACA-SAN JUAN DE JARPA,Zanahoria
248,JUNIN-CHUPACA-YANACANCHA,Haba grano seco
249,JUNIN-CHUPACA-YANACANCHA,Olluco
250,LA LIBERTAD-SANTIAGO DE CHUCO-MOLLEPATA,Olluco
251,LA LIBERTAD-SANTIAGO DE CHUCO-QUIRUVILCA,Zapallo
252,LIMA-BARRANCA-SUPE PUERTO,Camote
253,LIMA-HUAURA-SANTA LEONOR,Zapallo
254,LIMA-YAUYOS-LINCHA,Zapallo
255,PUNO-PUNO-ACORA,Arveja grano seco
256,PUNO-PUNO-ACORA,Maiz amilaceo
257,PUNO-PUNO-AMANTANI,Arveja grano seco
258,PUNO-PUNO-AMANTANI,Cebolla cabeza roja
259,PUNO-PUNO-AMANTANI,Maiz amilaceo
260,PUNO-PUNO-CHUCUITO,Arveja grano seco
261,PUNO-PUNO-CHUCUITO,Olluco
262,PUNO-PUNO-MAYAZO,Cebolla cabeza roja
263,PUNO-PUNO-MAYAZO,Olluco
264,PUNO-PUNO-MAYAZO,Trigo
265,PUNO-PUNO-PLATERIA,Maiz amilaceo
266,PUNO-PUNO-PLATERIA,Olluco
267,PUNO-PUNO-SAN ANTONIO,Papa nativa
268,PUNO-AZANGARO-ASILLO,Olluco
269,PUNO-AZANGARO-CHUPA,Quinua
270,PUNO-AZANGARO-JOSE D. CHOQUEHUANCA,Olluco
271,PUNO-AZANGARO-JOSE D. CHOQUEHUANCA,Quinua
272,PUNO-AZANGARO-MUYANI,Olluco
273,PUNO-AZANGARO-SAN ANTON,Olluco
274,PUNO-AZANGARO-SAN JUAN DE SALINAS,Olluco
275,PUNO-AZANGARO-TIRAPATA,Cebada grano
276,PUNO-AZANGARO-TIRAPATA,Olluco
277,PUNO-CHUCUITO-JULI,Maiz amilaceo
278,PUNO-CHUCUITO-JULI,Olluco
279,PUNO-CHUCUITO-JULI,Trigo
280,PUNO-CHUCUITO-POMATA,Cebolla cabeza roja
281,PUNO-CHUCUITO-POMATA,Olluco
282,PUNO-CHUCUITO-ZEPITA,Olluco
283,PUNO-CHUCUITO-ZEPITA,Trigo
284,PUNO-LAMPA-LAMPA,Haba grano seco
285,PUNO-LAMPA-CABANILLA,Olluco
286,PUNO-SAN ANTONIO DE PUTINA-PUTINA,Olluco
287,PUNO-SAN ANTONIO DE PUTINA-PEDRO VILCA APAZA,Olluco
288,PUNO-SAN ANTONIO DE PUTINA-QUILCAPUNCU,Olluco
289,PUNO-SAN ANTONIO DE PUTINA-SINA,Cebada grano
290,PUNO-SAN ANTONIO DE PUTINA-SINA,Olluco
291,PUNO-YUNGUYO-YUNGUYO,Cebolla cabeza roja
292,PUNO-YUNGUYO-OLLARAYA,Quinua
293,AMAZONAS-CHACHAPOYAS-HUANCAS,Frijol grano seco
294,AMAZONAS-CHACHAPOYAS-OLLEROS,Frijol grano seco
295,AMAZONAS-BONGARA-RECTA,Maiz amilaceo
296,AMAZONAS-LUYA-CONILA,Arveja grano seco
297,AMAZONAS-LUYA-LONGUITA,Haba grano seco
298,AMAZONAS-LUYA-SANTA CATALINA,Arveja grano verde
299,AMAZONAS-LUYA-SANTA CATALINA,Maiz choclo
300,AMAZONAS-UTCUBAMBA-CUMBA,Papa color
301,ANCASH-AIJA-CORIS,Olluco
302,ANCASH-ANTONIO RAYMONDI-ACZO,Haba grano seco
303,ANCASH-ANTONIO RAYMONDI-ACZO,Olluco
304,ANCASH-ANTONIO RAYMONDI-ACZO,Papa blanca
305,ANCASH-ANTONIO RAYMONDI-ACZO,Papa color
306,ANCASH-ANTONIO RAYMONDI-CHACCHO,Haba grano seco
307,ANCASH-ANTONIO RAYMONDI-CHACCHO,Maiz choclo
308,ANCASH-ANTONIO RAYMONDI-CHACCHO,Olluco
309,ANCASH-ANTONIO RAYMONDI-CHACCHO,Papa color
310,ANCASH-ANTONIO RAYMONDI-CHACCHO,Papa nativa
311,ANCASH-ANTONIO RAYMONDI-CHINGAS,Arveja grano seco
312,ANCASH-ANTONIO RAYMONDI-CHINGAS,Haba grano seco
313,ANCASH-ANTONIO RAYMONDI-SAN JUAN DE RONTOY,Arveja grano seco
314,ANCASH-ANTONIO RAYMONDI-SAN JUAN DE RONTOY,Haba grano seco
315,ANCASH-ANTONIO RAYMONDI-SAN JUAN DE RONTOY,Papa blanca
316,ANCASH-CARHUAZ-AMASHCA,Olluco
317,ANCASH-CARLOS FERMIN FITZCARRALD-YAUYA,Haba grano seco
318,ANCASH-HUAYLAS-PAMPAROMAS,Papa color
319,ANCASH-HUAYLAS-PUEBLO LIBRE,Quinua
320,ANCASH-HUAYLAS-YURACMARCA,Haba grano seco
321,ANCASH-HUAYLAS-YURACMARCA,Olluco
