DEPARTAMENTO,PROVINICA,DISTRITO,Precio Promedio,Volumen Promedio,Temperatura,Humedad,Precipitación,Cultivo
4,143,574,1.65,1423.0,10.93,78.1,15.5,8
4,145,399,1.65,1423.0,10.93,78.1,15.5,8
5,7,493,0.53,34789.0,8.52,63.67,0.1,12
5,7,1398,0.53,34789.0,8.52,63.67,0.1,12
5,28,1362,1.33,2925.0,8.52,63.67,0.1,11
5,28,855,1.33,2925.0,8.52,63.67,0.1,11
5,28,960,1.33,2925.0,8.52,63.67,0.1,11
5,29,234,3.3,2024.0,8.52,63.67,0.1,3
5,29,328,3.3,2024.0,8.52,63.67,0.1,3
5,29,328,1.33,2925.0,8.52,63.67,0.1,11
5,29,712,3.3,2024.0,8.52,63.67,0.1,3
5,29,1279,1.33,2925.0,8.52,63.67,0.1,11
9,78,496,1.33,2925.0,12.25,76.89,3.1,11
9,52,709,9.54,3110.0,12.25,76.89,3.1,1
9,52,709,1.53,15408.0,12.25,76.89,3.1,6
9,50,1074,0.6,10003.0,12.25,76.89,3.1,18
9,50,1357,1.65,1423.0,12.25,76.89,3.1,8
9,50,1357,1.33,2925.0,12.25,76.89,3.1,11
10,152,756,1.33,2925.0,16.02,69.91,0.7,11
10,152,982,1.39,3806.0,16.02,69.91,0.7,19
12,18,1224,0.93,4777.0,11.97,80.8,21.5,5
12,85,1137,1.39,3806.0,11.97,80.8,21.5,19
12,171,652,1.39,3806.0,11.97,80.8,21.5,19
18,134,11,3.3,2024.0,9.82,63.89,59.4,3
18,134,11,1.43,1741.0,9.82,63.89,59.4,10
18,134,36,3.3,2024.0,9.82,63.89,59.4,3
18,134,36,1.53,15408.0,9.82,63.89,59.4,6
18,134,36,1.43,1741.0,9.82,63.89,59.4,10
18,134,285,3.3,2024.0,9.82,63.89,59.4,3
18,134,285,1.33,2925.0,9.82,63.89,59.4,11
18,134,737,1.53,15408.0,9.82,63.89,59.4,6
18,134,737,1.33,2925.0,9.82,63.89,59.4,11
18,134,919,1.43,1741.0,9.82,63.89,59.4,10
18,134,919,1.33,2925.0,9.82,63.89,59.4,11
18,134,1032,1.23,1684.0,9.82,63.89,59.4,14
18,16,73,1.33,2925.0,9.82,63.89,59.4,11
18,16,570,1.33,2925.0,9.82,63.89,59.4,11
18,16,771,1.33,2925.0,9.82,63.89,59.4,11
18,16,1031,1.33,2925.0,9.82,63.89,59.4,11
18,16,1079,1.33,2925.0,9.82,63.89,59.4,11
18,16,1285,1.33,2925.0,9.82,63.89,59.4,11
18,49,583,1.43,1741.0,9.82,63.89,59.4,10
18,49,583,1.33,2925.0,9.82,63.89,59.4,11
18,49,929,1.53,15408.0,9.82,63.89,59.4,6
18,49,929,1.33,2925.0,9.82,63.89,59.4,11
18,49,1395,1.33,2925.0,9.82,63.89,59.4,11
18,98,629,1.65,1423.0,9.82,63.89,59.4,8
18,98,114,1.33,2925.0,9.82,63.89,59.4,11
18,141,955,1.33,2925.0,9.82,63.89,59.4,11
18,141,889,1.33,2925.0,9.82,63.89,59.4,11
18,141,974,1.33,2925.0,9.82,63.89,59.4,11
18,141,1198,1.33,2925.0,9.82,63.89,59.4,11
18,173,1385,1.53,15408.0,9.82,63.89,59.4,6
1,2,349,1.33,2925.0,9.22,76.47,34.05,11
1,9,15,1.65,1423.0,9.22,76.47,34.05,8
1,9,15,1.33,2925.0,9.22,76.47,34.05,11
1,9,15,0.53,34789.0,9.22,76.47,34.05,12
1,9,15,0.6,4525.0,9.22,76.47,34.05,13
1,9,207,1.65,1423.0,9.22,76.47,34.05,8
1,9,207,1.33,2925.0,9.22,76.47,34.05,11
1,9,207,0.6,4525.0,9.22,76.47,34.05,13
1,9,207,1.23,1684.0,9.22,76.47,34.05,14
1,9,262,3.3,2024.0,9.22,76.47,34.05,3
1,9,262,1.65,1423.0,9.22,76.47,34.05,8
1,9,1078,3.3,2024.0,9.22,76.47,34.05,3
1,9,1078,1.65,1423.0,9.22,76.47,34.05,8
1,9,1078,0.53,34789.0,9.22,76.47,34.05,12
1,35,37,1.33,2925.0,9.22,76.47,34.05,11
1,36,1375,1.65,1423.0,9.22,76.47,34.05,8
1,86,856,0.6,4525.0,9.22,76.47,34.05,13
1,86,1388,1.65,1423.0,9.22,76.47,34.05,8
1,86,1388,1.33,2925.0,9.22,76.47,34.05,11
1,86,1388,1.23,1684.0,9.22,76.47,34.05,14
1,124,473,1.65,1423.0,9.22,76.47,34.05,8
